User Query,Clarifying Question
where can i learn about rock painting or buy a rock-painting kit?,where can i buy tools for stone carving or engraving?
what are the symptoms of a heart attack?,do the signs of a heart attack differ between men and women?
how do you weather strip automobile windows and doors?,what is the best way to seal or weather strip my garage door?
what are the different types of long term care insurance policies?,what companies offer long term care insurance policies?
what time and temperature should be used to roast a pork tenderloin?,find recipes for pork tenderloin marinades and dry rubs.
find a timeline for african americans in the united states.,find activities for children for black history month.
"i want to find online guides, tips, and checklists for planning a wedding.",i am looking for spreadsheets or templates to help me tabulate a budget for a wedding.
find inexpensive hotels in new york city.,"where are hotels on long island, new york?"
what is a good way to begin collecting old coins?,what is the value of a rare wheat us penny?
what are the ways you can quit smoking?,what are the benefits of quitting smoking?
"what are some kansas city, mo tourist attractions?",what hotels are near the kansas city airport?
what issues were addressed in the civil rights act of 1964?,find a timeline of the civil rights movement in the united states.
how do i get my free annual credit report?,i need the customer service contact information for the three major credit reporting agencies.
what campuses are part of the university of north carolina?,find reports of university of north carolina chapel hill athletics.
find a map of the islands of vanuatu.,i need travel and tourism information for vanuatu.
what is the best internet phone service?,find free internet phone service.
find the general schedule pay tables.,does the federal wage system affect the general schedule?
find brooks brothers online promotional coupons.,where are brooks brothers outlet stores located?
find information on the racing schedule at churchill downs.,find information on breeders cup races.
find beachfront condos for sale in florida.,i want to find a vacation rental oceanfront condo in florida.
can i order dog clean-up bags online?,are there biodegradable products for the disposal of dog waste?
what breeds of small or toy dog hybrids are there?,find puppies of designer dog breeds for sale.
where can i buy replacement parts for pressure washers?,provide pressure washer reviews and/or ratings.
what causes a sore throat?,find home remedies for a sore throat.
what is the state flower of idaho?,find pictures of the idaho state flower.
what events are held at the indiana state fairgrounds?,find driving directions to the indiana state fairgrounds.
what are the primary symptoms or signs of fybromyalgia?,what medicines can be used to treat fybromyalgia?
what jobs are available at french lick casino and resort?,are there discounted packages for staying at french lick resort and casino?
find information on the land rover defender sport-utility vehicle.,i want to go to the homepage for defender marine supplies.
"find flight information for the ontario, ca airport.","what hotels are near the ontario, ca airport?"
i\'m looking for volvo\'s homepage.,find reviews of the volvo xc90 suv.
take me to rick warren\'s homepage.,"i\'m looking for the homepage for rick warren\'s book, \""the purpose driven life\""."
take me to yahoo! mail.,take me to yahoo! finance.
how is workplace diversity achieved and managed?,find free activities and materials for running a diversity training program in my office.
find information on the greek mathematician euclid.,i\'m looking for a source for euclid truck parts.
what causes the heart to beat faster or slower?,what is a normal heart rate when a person is resting?
take me to the starbucks homepage.,what is the balance on my starbucks gift card?
i\'m looking for pictures and wallpaper images from inuyasha.,find inuyasha anime episodes for download.
find reviews of playstation 2 games.,where can i find cheat codes for playstation 2 games?
"find tips on getting organized, both reducing clutter and managing time.",take me to the container store homepage.
"find free diabetes education materials such as videos, pamphlets, and books.",take me to the nih national diabetes education program homepage.
i want to read about the history of the atari 2600 and other atari game consoles.,i am looking for a site where i can play old atari games online.
what are the cheapest web hosting companies? who offers free web hosting?,where can i register a domain name?
i\'m looking for reviews of elliptical machines.,where can i buy a used or discounted elliptical trainer?
what free phones are available from different vendors?,find information on prepaid cell phones. what companies offer them? what kind of phones are available?
find restaurants in hoboken.,"find the homepage for the city of hoboken, nj."
find reviews of gps units and car navigation systems.,find reviews of digital cameras with built-in gps.
how do i host a pampered chef cooking show?,how do i become a pampered chef consultant?
find organizations that offer dogs for adoption.,take me to the homepage of the humane society.
what hotels are near disneyland?,find information on package deals from hotels near disneyland.
"what different kinds of toilets exist, and how do they differ?",i\'m looking for companies that manufacture residential toilets.
what jobs are available in michigan?,find career resources and information on job seeking in michigan.
find a schedule of events taking place at the orange county convention center.,how do i reserve the orange county convention center for an event?
find lyrics for songs from the music man.,find current performances of the music man.
find reviews of the book the secret garden.,find reviews of the various tv and movie adaptations of the secret garden.
find us road maps.,find detailed geographic maps of the united states.
what kinds of solar panels and photovoltaic cells are there?,find information about solar panels that i can install on my home.
go to the alexian brothers health system homepage.,find information about the alexian brothers lay catholic order.
what is an indexed annuity? what are their advantages and disadvantages? what kinds of indexed annuities are there?,where can i buy an indexed annuity? what investment companies offer them?
go to the wilson antenna homepage.,what kinds of cb antennas does wilson antenna sell?
find free flame design clipart i can use on a website.,i\'m looking for good flame tattoo designs.
find the homepage for mitchell college.,find the homepage for the athletics department at mitchell college.
what is the effect of excessive heat on dogs?,what are symptoms of heat stroke and other heat-related illnesses in dogs?
find information about horses\' hooves and how to care for them.,find pictures of horse hooves.
"go to the homepage for the avp, sponsor of professional beach volleyball events.",find information about pro beach volleyball tournaments and events sponsored by avp.
find the discovery channel store homepage.,find discovery channel store locations.
find the homepage of the president of the united states.,"find information about the current president of the united states, barack obama."
find information about iron as an essential nutrient.,what foods contain iron?
find historical information about the uss yorktown aircraft carriers used during world war 2.,find information about the uss yorktown exhibit at the patriots point museum.
find sites for finding a job in connecticut.,take me to the homepage for the connecticut department of labor.
find the homepage of the pittsburgh penguins,find pittsburgh penguins merchandise such as hockey jerseys.
find information about building a wooden fence.,find information about building chain-link fences.
"find information about bellevue, washington.","find information about bellevue, nebraska."
"find information about computer worms, viruses, and spyware.",find information about worms in nature.
find the homepage for supporters of the u.s. border patrol in texas.,find information on the mission of the u.s. border patrol in texas.
"find information about flushing, a neighborhood in new york city.",find information about causes of excessive facial flushing.
what do moths and butterflies eat?,find pictures of moths.
find background information about the korean language.,find resources on translating korean to other languages.
find a site where i can fill out my federal income tax return online.,find information about electronically filing (e-filing) my federal income tax return.
how are vldl levels determined?,what are good and bad levels of vldl in a cholesterol test?
find information about pvc pipes and fittings.,what is the material pvc?
find sewing sites for beginners.,find instructions for using a sewing machine.
what restrictions are there for checked baggage during air travel?,what are the rules for liquids in carry-on luggage?
"find the text of hamlet\'s famous \""to be or not to be\"" soliloquy.",find famous quotes from shakespeare\'s plays.
find information about buying real estate in india.,find information about how people live in india.
"find information about the sun, the star in our solar system.","find the homepage for the u.k. newspaper, the sun."
find albums by neil young to buy.,find biographical information about neil young.
find information on kiwi fruit.,find information on kiwi birds.
"find information about tornadoes, what causes them, and where they occur.",find videos and pictures of tornadoes.
find plans for building a raised garden bed.,find a raised garden bed kit.
find dealers that sell or rent bobcat tractors and construction equipment.,find information about wild bobcats.
"find \""reasonable\"" dieting advice, that is not fads or medications but reasonable methods for weight loss.",find tips and charts for counting calories while dieting.
find the homepage for the nasa voyager mission.,find information about the nasa voyager spacecraft and missions.
what companies can give an appraisal of my home\'s value?,i\'m looking for companies that appraise jewelry.
find reviews of computer keyboards.,find reviews of electronic keyboards and digital pianos.
"find information about afghanistan\'s history, government, religion, and culture.",find information about the war in afghanistan.
find information about joints in the human body.,find an explanation of the different types of joints used in woodworking.
find information about human memory.,"find information on various types of computer memory, and how they are different."
find maps of the continental plates.,find pages that give information on and evidence for continental drift.
find the milwaukee journal sentinel web site.,find the sports section of the milwaukee journal sentinel.
find bart train schedules and fares.,find maps of the bart system.
find information on the history and development of music.,find a history of classical music.
what kinds of injuries or conditions can cause forearm pain?,find pages or sites that describe the anatomy of the forearm.
find basic background information on obsessive-compulsive disorder (ocd).,what are the symptoms of obsessive-compulsive disorder?
i\'m looking for online sites that sell car parts.,i\'m looking for the car-part.com web site.
find information about the mgb sports car.,find sites for mgb car owners and enthusiasts.
find summaries of episodes from the show er.,find episodes of er i can download or watch online.
"find information about the pink floyd album, \""the wall\""","where can i buy pink floyd\'s album, \""the wall\""?"
find the homepage of raffles hotel in singapore.,find biographical information about sir stamford raffles.
find information on the nissan titan truck.,find the homepage for titan watches.
"find recipes for rice, for example fried rice or rice pudding.",find the homepage of rice university.
find pages that give the history of south africa.,find maps of south africa.
how do i register to take the sat exam?,find general information about the sats.
find background information about man-made satellites.,find satellite maps and geographic images.
